Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
LYPD5,0.532604388,0.648697806,0.663161713,0.748351026,0.67413305,0.759386058,0.715821833,0.758138712
LYPD6,0.98576787,0.950725407,0.916323425,0.986075725,0.998257254,0.994055202,0.987783086,0.99410828
LYPD6B,0.99898443,0.970304317,0.990452937,0.979716914,0.999239207,0.992604388,0.997567233,0.997124912
LYPD8,0.521882519,0.265212314,0.547232838,0.534025124,0.608244869,0.327070064,0.744258669,0.633696037
LYPLA1,0.87378627,0.93868719,0.949000354,0.924929229,0.860536093,0.94229034,0.986518047,0.968480184
LYPLA2,0.891599434,0.855590941,0.816102265,0.837137297,0.957758316,0.967533616,0.942484961,0.935894374
LYPLAL1,0.953110403,0.902507077,0.899819533,0.72680644,0.97537155,0.955661713,0.979370134,0.803277601
LYRM2,0.640389243,0.723531493,0.825345011,0.535180467,0.851795824,0.934841649,0.974982307,0.770501592
LYRM4,0.976992215,0.996477353,0.957737084,0.982975938,0.968780962,0.996580856,0.95429494,0.990313163
LYRM7,0.975063694,0.911022647,0.766300425,0.798131635,0.984660297,0.91545913,0.750004423,0.902255839
LYRM9,0.669649682,0.679608988,0.666426044,0.647162067,0.777600849,0.778512031,0.745245046,0.673465145
LYSMD1,0.878333333,0.676866596,0.707018754,0.593043171,0.913897735,0.666357042,0.678507608,0.655935952
LYSMD2,0.919398443,0.904980538,0.917381458,0.815023001,0.960040694,0.995187544,0.998000708,0.963995046
LYSMD3,0.780704176,0.803673036,0.763724345,0.813427105,0.832802548,0.862867127,0.864968153,0.731838287
LYSMD4,0.934193206,0.936928521,0.983039632,0.783906582,0.973098018,0.969948691,0.993126327,0.896226999
LYST,0.994225053,0.999239207,0.979646143,0.997491154,0.99485138,0.999416136,0.999186129,0.999690375
LYVE1,0.69905874,0.631183652,0.665238854,0.370854565,0.786314579,0.730166313,0.705033616,0.472832626
LYZ,0.473857042,0.495084926,0.696947983,0.600578556,0.395364473,0.345736023,0.463897735,0.389547948
LYZL4,0.832246992,0.858471338,0.808349257,0.729658528,0.857298301,0.805586518,0.784045471,0.710832449
LYZL6,0.713807502,0.686027955,0.730845718,0.670350318,0.606909059,0.650601557,0.725862527,0.593232484
LZIC,0.826086341,0.877291224,0.91037155,0.63423213,0.853591649,0.913061748,0.912062102,0.660947452
LZTFL1,0.916050955,0.965191083,0.946204883,0.878595188,0.943789809,0.998522647,0.976685244,0.851627742
LZTR1,0.920042463,0.894598372,0.876026185,0.934147205,0.928388181,0.928941083,0.941923213,0.960845718
LZTS1,0.960739561,0.999805379,0.99616419,0.982636235,0.946001415,0.999584218,0.993320948,0.962898089
LZTS2,0.991801132,0.973149328,0.965921798,0.939249823,0.997248762,0.999389597,0.999593064,0.986677282
M1AP,0.749175513,0.842420382,0.799842534,0.741572895,0.877990092,0.969391366,0.947111642,0.823146674
M6PR,0.858149328,0.906250885,0.844693914,0.826827672,0.895107926,0.992710545,0.922253185,0.734992038
MAATS1,0.983616419,0.988149328,0.998308563,0.999525832,0.977733546,0.999557679,0.999858457,0.999336518
MAB21L1,0.709447983,0.888853503,0.861751592,0.854973461,0.747779547,0.965083156,0.804573602,0.763287332
MAB21L2,0.602476999,0.774594834,0.724731069,0.729340057,0.584784147,0.877923744,0.835368011,0.873757077
MAB21L3,0.868043171,0.851296886,0.791700283,0.862243454,0.923487261,0.99081741,0.899973461,0.82106334
MACC1,0.6514862,0.766082803,0.79433121,0.658655343,0.703299717,0.681121727,0.790242392,0.747257608
MACF1,0.991231423,0.999688606,0.995290163,0.956829441,0.993170559,0.999893843,0.999920382,0.996717976
MACROD1,0.998050248,0.992774239,0.992176221,0.91403397,0.998858811,0.994877919,0.997947629,0.980449398
MACROD2,0.999271054,0.999992923,0.999939844,0.942130219,0.999787686,1,0.999991154,0.934363942
MAD1L1,0.974699222,0.998800425,0.995635173,0.945115004,0.998274947,0.999230361,0.992560156,0.976065994
MAD2L1,0.682880396,0.636052725,0.753112173,0.673209483,0.778927813,0.711725938,0.791927636,0.718263447
MAD2L1BP,0.577059448,0.417034678,0.38022293,0.523982661,0.599787686,0.353078556,0.356219038,0.574500177
MAD2L2,0.894122435,0.804658528,0.869593064,0.84066879,0.884191437,0.835089349,0.900194621,0.949716914
MADCAM1,0.761496815,0.777346072,0.776199575,0.664191437,0.863517339,0.916233192,0.967361111,0.892675159
MADD,0.933064402,0.992715853,0.93413482,0.887013447,0.995426398,0.999606334,0.985164544,0.993780962
MAEA,0.970460014,0.983145789,0.970175159,0.969294055,0.978007785,0.986818825,0.985885527,0.995435244
MAEL,0.932954706,0.978602265,0.947453999,0.933619958,0.956378273,0.98185598,0.92267339,0.940215853
MAF1,0.725106157,0.735872258,0.66616419,0.638607573,0.823328025,0.930962491,0.858072364,0.672151451
MAFA,0.717342534,0.779177282,0.743926044,0.756771054,0.614561217,0.753109519,0.720789101,0.738526185
MAFB,0.999879689,0.989219745,0.993577495,0.99960368,0.999938075,0.994090587,0.995196391,0.999761146
MAFF,0.690332626,0.739076433,0.684646143,0.618605803,0.769125973,0.822111642,0.785354742,0.724124204
MAFG,0.939111819,0.994048125,0.998128096,0.99121373,0.982820241,0.99962845,0.999973461,0.998381104
MAFK,0.515714791,0.544025124,0.665141543,0.535341472,0.552972399,0.570404282,0.624685952,0.527140835
MAG,0.996854211,0.798496108,0.647416844,0.556050955,0.997416844,0.954396674,0.686549009,0.63554494
MAGED1,0.981896674,0.936758669,0.928696037,0.915293701,0.991180113,0.972496461,0.972098372,0.906550778
MAGED2,0.893014862,0.795863411,0.869881458,0.83896143,0.946231423,0.900490977,0.956422505,0.851760439
MAGEE1,0.98007431,0.653527955,0.654971691,0.72863765,0.984784147,0.850796178,0.795890835,0.889552371
MAGEE2,0.712229299,0.649541755,0.513575725,0.604867304,0.886942675,0.926587933,0.797890127,0.831931175
MAGEF1,0.699812456,0.777278839,0.884067587,0.567409766,0.850017693,0.964397558,0.982510616,0.616379158
MAGEH1,0.906758669,0.787618542,0.818874735,0.94651097,0.952061217,0.964048125,0.90821833,0.944948691
MAGEL2,0.998977353,0.979994692,0.996351734,0.977510616,0.999407289,0.999194975,0.999938075,0.997929936
MAGI1,0.995711253,0.999501062,0.998549186,0.997763623,0.999522293,0.999911536,0.999991154,0.999955768
MAGI2,0.998496108,1,0.999943383,0.998478415,0.999672682,1,0.999973461,0.999946921
MAGI3,0.997707006,0.999706299,0.998331564,0.999663836,0.999566525,1,0.999991154,0.999982307
MAGIX,0.783368719,0.739138358,0.659807148,0.721671975,0.822903397,0.6295161,0.660177813,0.836779016
MAGOH,0.671440198,0.696507431,0.710435244,0.781871904,0.765843949,0.745753715,0.805400743,0.930661713
MAGOHB,0.754946921,0.537358457,0.568989738,0.56829264,0.875707714,0.758067941,0.61826787,0.431913482
MAGT1,0.972186837,0.979798301,0.982604388,0.919412597,0.99559448,0.996983369,0.988296178,0.854007431
MAK,0.587335456,0.678575725,0.672845011,0.637404459,0.477123142,0.771532201,0.8735138,0.670245046
MAK16,0.887494692,0.824771762,0.791091649,0.89034678,0.871160651,0.689194091,0.723177636,0.859562987
MAL,0.999055202,0.908745577,0.823625265,0.778920736,0.999433829,0.991109342,0.974265747,0.926079264
MAL2,0.982112527,0.942172682,0.989225053,0.982517693,0.990543171,0.992737084,0.998062633,0.973597841
MALL,0.835679406,0.95668436,0.915357396,0.875063694,0.889092357,0.958802194,0.962146143,0.806440198
MALRD1,0.634217976,0.82361288,0.839796532,0.686151805,0.766861288,0.930524593,0.962836164,0.78748673
MALSU1,0.754589526,0.814520524,0.764493984,0.556404812,0.746496815,0.70920913,0.7579839,0.578255485
MALT1,0.837646851,0.947855626,0.894313517,0.923977353,0.866144728,0.923531493,0.881028839,0.940220276
MAMDC2,0.900484784,0.714143666,0.851266808,0.808924275,0.916746285,0.758302371,0.941321656,0.91334041
MAMDC4,0.719837226,0.783381104,0.78378627,0.666882519,0.756838287,0.693732307,0.682691967,0.690901451
MAML1,0.73331564,0.739656759,0.621036801,0.524879689,0.886270347,0.863968507,0.659518754,0.545691791
MAML2,0.999794763,0.999992923,0.999968153,0.967620311,0.999973461,1,0.999982307,0.999725761
MAML3,1,1,1,0.999943383,1,1,1,0.999929229
MAMLD1,0.981822364,0.984350672,0.995690021,0.984692144,0.994815994,0.991326079,0.999327672,0.995859873
MAMSTR,0.846779901,0.909955768,0.784936306,0.667101911,0.945948337,0.978560686,0.890490092,0.801380042
MAN1A1,0.999911536,0.999989384,0.997537155,0.998181175,0.999991154,1,0.999920382,0.997001062
MAN1A2,0.999713376,0.99940552,0.999624912,0.998941967,0.999991154,0.9985138,0.999301132,0.999734607
MAN1B1,0.775573248,0.567588464,0.601544586,0.607682236,0.890047771,0.646439314,0.674106511,0.672912243
MAN1C1,0.979345364,0.999612527,0.968952583,0.981700283,0.984262208,0.999796532,0.943621727,0.973699575
MAN2A1,0.99537155,0.99987615,0.999398443,0.974449752,0.994470984,0.999946921,0.999902689,0.980475938
MAN2B1,0.989872611,0.945753715,0.957289455,0.783027247,0.994506369,0.994563871,0.997098372,0.903282024
MAN2B2,0.997699929,0.995097311,0.994550602,0.95331741,0.996983369,0.992914013,0.998619958,0.925902335
MAN2C1,0.712561925,0.798913659,0.800621019,0.875368011,0.79202937,0.829918613,0.832899858,0.980453822
MANBA,0.987133758,0.999731069,0.997292994,0.971270347,0.989764685,0.999584218,0.99593949,0.943966737
MANBAL,0.751199575,0.709115357,0.573816348,0.651976292,0.820408705,0.770572364,0.674730184,0.623836695
MANEA,0.894295824,0.887001062,0.934451522,0.913062633,0.967471691,0.990065464,0.982510616,0.916631281
MANEAL,0.943917197,0.719837226,0.624819533,0.570870488,0.931758669,0.676220807,0.565224699,0.507302725
MANF,0.716613588,0.60056971,0.644580679,0.677489384,0.801406582,0.772332803,0.706559625,0.567219568
MANSC1,0.930240623,0.820254777,0.866449045,0.798871196,0.950256546,0.878277601,0.958187367,0.796169498
MAOA,0.970580326,0.996889597,0.996949752,0.931617127,0.979228592,0.999301132,0.998929582,0.983775655
MAOB,0.993754423,0.988927813,0.934557679,0.984918613,0.996859519,0.998478415,0.956997523,0.966047417
MAP10,0.579189667,0.662338995,0.676109342,0.723216561,0.689499292,0.746496815,0.711376504,0.73884908
MAP1A,0.950527247,0.986429582,0.997441614,0.977917551,0.966259731,0.9995046,0.998274947,0.949340941
MAP1B,0.990534324,0.999012739,0.999688606,0.999366596,0.999946921,1,1,0.999938075
MAP1LC3A,0.931249115,0.912204529,0.921457891,0.833418259,0.925822718,0.936783439,0.933266985,0.877592003
MAP1LC3C,0.913644728,0.898305025,0.949453291,0.92163482,0.918586341,0.878485492,0.979078202,0.996399505
MAP1S,0.98544586,0.968080326,0.901755131,0.827096603,0.998991507,0.999513447,0.980900566,0.929936306
MAP2,0.999171975,0.999815994,0.991019108,0.998446568,0.998398797,0.999982307,0.999955768,0.999991154
MAP2K1,0.99848903,0.994348903,0.991496815,0.99081741,0.999531139,0.995957183,0.998098018,0.991790517
MAP2K2,0.941259731,0.972264685,0.970994338,0.981252654,0.890428167,0.986217268,0.966578202,0.976769285
MAP2K3,0.93512385,0.922924628,0.944320594,0.901726822,0.989490446,0.972903397,0.965538747,0.903485492
MAP2K4,0.997409766,0.999228592,0.99910828,0.99920736,0.998628804,0.999124204,0.999734607,0.998425336
MAP2K5,0.959929229,0.891250885,0.892627389,0.89628804,0.969444444,0.962951168,0.951326964,0.994426752
MAP2K6,0.77012385,0.739539986,0.791397735,0.979803609,0.82928167,0.801804671,0.787473461,0.977056794
MAP2K7,0.827922859,0.858554494,0.894364827,0.758848195,0.904670913,0.917825548,0.934461253,0.967958245
MAP3K1,0.99957891,0.997554848,0.998280255,0.996790517,0.999973461,0.999301132,1,0.999973461
MAP3K10,0.998566879,0.973872965,0.966392427,0.96838995,0.999823071,0.999482484,0.993374027,0.995904105
MAP3K11,0.998510262,0.961817056,0.985654636,0.733075018,0.9995046,0.965516631,0.989685067,0.724544409
MAP3K12,0.98393489,0.978098018,0.95633758,0.842791932,0.991109342,0.976685244,0.902185067,0.821912597
MAP3K13,0.906875442,0.871887827,0.768175867,0.925058386,0.963411182,0.950017693,0.905714791,0.957311571
MAP3K14,0.973952583,0.975863411,0.998641189,0.981753362,0.982262916,0.985009731,0.999000354,0.988698691
MAP3K15,0.896093418,0.941036801,0.814693914,0.789877919,0.934067587,0.948115711,0.96519816,0.939158705
MAP3K19,0.734943383,0.858607573,0.685925336,0.65873673,0.773938429,0.943210368,0.874018047,0.81642339
MAP3K2,0.894486907,0.942245223,0.831746285,0.729557679,0.945629866,0.984792994,0.938875619,0.680179582
MAP3K3,0.893075018,0.956452583,0.894798301,0.760886412,0.962508846,0.999681529,0.998531493,0.914340057
MAP3K4,0.998520878,0.999164897,0.999593064,0.975976645,0.999769993,0.998504954,0.999973461,0.997823779
MAP3K5,0.9997523,0.991128804,0.997972399,0.969499292,0.999955768,0.993922505,0.99742569,0.972558386
MAP3K6,0.927197452,0.881298655,0.957192144,0.816567587,0.868099788,0.936553432,0.991224345,0.91285828
MAP3K7,0.791896674,0.957165605,0.97764862,0.93854034,0.908616419,0.980082272,0.983121019,0.923106865
MAP3K7CL,0.591542817,0.737183298,0.71338995,0.638361642,0.721974522,0.839503715,0.718276716,0.827171798
MAP3K8,0.968765039,0.960477707,0.844472753,0.696095188,0.939021585,0.989048125,0.982147912,0.800309625
MAP3K9,0.999072895,0.979148974,0.943789809,0.983658882,0.999371904,0.993630573,0.931780786,0.993807502
MAP4,0.999299363,0.997508846,0.998899505,0.997786624,0.999548832,0.998920736,0.997735315,0.996138535
MAP4K1,0.973591649,0.942388535,0.90346603,0.823975584,0.971700283,0.890538747,0.9242569,0.812619427
MAP4K2,0.979858457,0.982547771,0.956808209,0.814486907,0.9884908,0.999292286,0.998575725,0.94631104
MAP4K3,0.986673744,0.995382166,0.992889243,0.999589526,0.994187898,0.999884996,0.99621373,0.999929229
MAP4K4,0.992767162,0.999784147,0.997211607,0.995647558,0.995523708,1,0.999920382,0.999539986
MAP4K5,0.997544232,0.877983015,0.98856334,0.72502477,0.999301132,0.907320418,0.995019462,0.742595541
MAP6,0.999189667,0.994879689,0.999762916,0.998630573,0.998575725,0.999522293,0.999787686,0.999929229
MAP7,0.999260439,0.999493984,0.987852088,0.804798301,0.999371904,0.999955768,0.999398443,0.927600849
MAP7D1,0.994384289,0.987432767,0.997395612,0.935481246,0.995417551,0.998319179,0.999654989,0.996541047
MAP7D2,0.997661005,0.969161359,0.942453999,0.883404105,0.996532201,0.962097488,0.933638535,0.887906936
MAP7D3,0.877551309,0.784003892,0.73477707,0.847745931,0.901105803,0.930927105,0.869594834,0.941012031
MAP9,0.921776362,0.857349611,0.892974168,0.881859519,0.921178344,0.815866065,0.877087757,0.863645612
MAPK1,0.931677282,0.988443029,0.933338641,0.890555556,0.990587403,0.999398443,0.979263977,0.932143489
MAPK10,0.94940552,0.988803963,0.958864119,0.985882873,0.922593772,0.982130219,0.971443737,0.984010085
MAPK11,0.999734607,1,1,0.997714084,0.999805379,1,1,0.999424982
MAPK12,0.913641189,0.998872965,0.998163482,0.902554848,0.927485846,0.999690375,0.997337226,0.936208422
MAPK13,0.993085633,0.944865534,0.954302902,0.936012031,0.996072187,0.959633758,0.995134466,0.962756546
MAPK14,0.999610757,0.999886766,0.999525832,0.986871904,0.999495754,0.999973461,0.999079972,0.995674098
MAPK15,0.981408351,0.848375796,0.771183652,0.735438783,0.988694268,0.992666313,0.907758316,0.860306086
MAPK1IP1L,0.828963199,0.80158351,0.804401982,0.832140835,0.911836518,0.931528662,0.990401628,0.940467976
MAPK4,0.998818117,1,0.998842887,0.981256192,0.999522293,1,0.998779193,0.975353857
MAPK6,0.882607926,0.937289455,0.959646143,0.889391366,0.968913659,0.98125,0.988203291,0.997363765
MAPK7,0.713570418,0.731518047,0.75853857,0.593223638,0.708775655,0.657231953,0.672960899,0.479976115
