gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
SMPD1,1,FALSE,0,0,0,0,0.228393506,1,0,NA
SMPD2,1,FALSE,0,0,0,0,0.066025141,1,0,NA
SMPD4,1,FALSE,0,0,0,0,1,1,0,NA
SMPDL3A,1,FALSE,0,0,0,0,1,1,0,NA
SMPDL3B,1,FALSE,0,1,1,1,1,1,0,Diverged_in_single-cell
SMPX,0,FALSE,0,0,0,0,1,1,0,NA
SMS,1,FALSE,0,0,0,0,1,1,0,NA
SMTN,1,FALSE,0,0,0,0,0.48365029,1,0,NA
SMTNL1,1,FALSE,0,0,1,1,0.160393103,1,0,Diverged_in_single-cell
SMTNL2,1,FALSE,0,0,0,0,0.221358528,1,0,NA
SMU1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SMUG1,1,FALSE,0,0,1,1,0.983754639,1,0,Diverged_in_single-cell
SMURF1,1,FALSE,0,0,0,0,1,1,0,NA
SMURF2,1,FALSE,0,0,0,0,1,1,0,NA
SMYD1,1,FALSE,0,0,0,0,1,1,0,NA
SMYD2,1,FALSE,0,0,0,0,1,1,0,NA
SMYD3,1,FALSE,0,0,0,0,1,1,0,NA
SMYD4,1,FALSE,0,0,0,0,1,1,0,NA
SMYD5,1,FALSE,0,0,0,0,1,1,0,NA
SNAI1,1,FALSE,1,1,0,1,1,1,0,Diverged_in_single-cell
SNAI2,0,FALSE,0,0,0,0,1,1,0,NA
SNAP23,1,FALSE,0,0,0,0,1,1,0,NA
SNAP25,1,FALSE,0,0,0,0,1,1,0,NA
SNAP29,1,FALSE,0,0,0,0,0.910858495,1,0,NA
SNAP47,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SNAP91,1,FALSE,0,0,0,0,1,1,0,NA
SNAPC1,1,FALSE,0,0,0,0,1,1,0,NA
SNAPC2,1,FALSE,0,0,1,1,0.819343402,1,0,Diverged_in_single-cell
SNAPC3,1,FALSE,0,0,0,0,0.725685757,1,0,NA
SNAPC4,1,FALSE,0,0,0,0,0.536803461,1,0,NA
SNAPC5,1,FALSE,0,1,1,1,1,1,0,Diverged_in_single-cell
SNAPIN,1,FALSE,1,0,1,1,0.382163754,1,0,Diverged_in_single-cell
SNCA,1,FALSE,0,0,0,0,0.139525459,1,0,NA
SNCAIP,1,FALSE,0,0,0,0,1,1,0,NA
SNCB,1,FALSE,0,0,0,0,1,1,0,NA
SNCG,1,FALSE,0,0,0,0,0.745279656,1,0,NA
SND1,1,FALSE,0,0,0,0,1,1,0,NA
SNED1,1,FALSE,0,0,0,0,0.581024571,1,0,NA
SNF8,1,FALSE,0,0,0,0,0.428278554,1,0,NA
SNIP1,1,FALSE,0,0,1,1,0.964282657,1,0,Diverged_in_single-cell
SNPH,1,FALSE,0,0,0,0,0.567354144,1,0,NA
SNRK,1,FALSE,0,0,0,0,1,1,0,NA
SNRNP200,1,FALSE,0,0,0,0,1,1,0,NA
SNRNP27,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SNRNP35,1,FALSE,0,0,0,0,1,1,0,NA
SNRNP40,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
SNRNP48,1,FALSE,0,0,0,0,0.151946191,1,0,NA
SNRNP70,1,FALSE,0,0,0,0,0.116440515,1,0,NA
SNRPA,1,FALSE,0,0,0,0,0.072233077,1,0,NA
SNRPA1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
SNRPB,1,FALSE,0,0,0,0,1,1,0,NA
SNRPB2,1,FALSE,0,0,0,0,0.234803718,1,0,NA
SNRPC,1,FALSE,0,0,1,1,0.826587629,1,0,Diverged_in_single-cell
SNRPD1,1,FALSE,1,0,0,1,0.101906894,1,0,Diverged_in_single-cell
SNRPD2,1,FALSE,0,0,0,0,1,1,0,NA
SNRPD3,1,FALSE,1,0,0,1,0.299470616,1,0,Diverged_in_single-cell
